ZIPCODE	GENDER_FEMALE	GENDER_MALE	GROUP_SIZE_CAT	AGE_CAT	AGE_T1	AGE_T2	BMI_T1	WEIGHT_T1	HIP_T1	HEIGHT_T1	WAIST_T1	BMI_T2	WEIGHT_T2	HIP_T2	HEIGHT_T2	WAIST_T2	EDUCATION_LOWER_T1	EDUCATION_LOWER_T2	WORK_T1	WORK_T2	LOW_QUALITY_OF_LIFE_T1	LOW_QUALITY_OF_LIFE_T2	DBP_T1	DBP_T2	HBF_T1	HBF_T2	MAP_T1	MAP_T2	SBP_T1	SBP_T2	HTN_MED_T1	CHO_T1	GLU_T1	CHO_T2	GLU_T2	RESPIRATORY_DISEASE_T1	PACKYEARS	SMOKING	METABOLIC_DISORDER_T1	METABOLIC_DISORDER_T2	LLDS	Quintile_LLDS	ALCOHOL_INTAKE_T1	KCAL_INTAKE_T1	MWK_VAL	SCOR_VAL	MWK_NO_VAL	SCOR_NO_VAL	SPORTS_T1	CYCLE_COMMUTE_T1	VOLUNTEER_T1	PREGNANCIES	OSTEOARTHRITIS_T1	DIAG_CFS_CDC	DIAG_FIBROMYALGIA_ACR	DIAG_IBS_ROME3	C_SUM_T1	A_SUM_T1	SC_SUM_T1	I_SUM_T1	E_SUM_T1	SD_SUM_T1	V_SUM_T1	D_SUM_T1	LTE_SUM_T1	LDI_SUM_T1	LTE_SUM_T2	LDI_SUM_T2	NSES_YEAR	MENTAL_DISORDER_T1	MENTAL_DISORDER_T2
7701	55.26	44.74	1	9	47.3	54.89	26.05	79.56	99.51	174.69	90.75	26.66	81.0	100.25	174.26	92.58	42.67	44.12	61.33	67.65	4.0	11.76	74.05	78.06	70.88	69.47	93.99	100.42	125.97	137.42	11.84	5.32	5.13	5.32	5.23	9.33	6.78	16.22	4.0	4.0	23.84	2.93	7.86	1936.13	516.65	2710.35	302.68	1640.49	60.56	29.03	36.73	2.32	13.16	3.23	6.45	9.68	30.04	18.69	18.87	21.73	22.45	30.16	17.91	28.51	1.12	2.07	0.71	1.77	2009.84	2.9	3.23
7741	57.74	42.26	8	8	43.07	46.61	26.25	79.55	100.12	173.63	91.97	26.33	80.05	99.7	174.06	91.12	37.77	35.63	73.14	78.35	10.85	13.11	75.45	75.35	70.86	69.02	94.76	95.51	127.89	130.26	14.59	5.12	5.01	5.08	5.1	10.32	7.58	27.04	2.89	3.9	23.45	2.89	7.33	1998.39	508.4	2664.04	258.32	1413.65	53.26	35.67	26.5	2.0	7.78	3.45	8.81	5.15	29.44	19.02	19.88	22.5	22.82	28.9	18.48	27.83	1.24	2.45	0.78	1.92	2009.99	2.18	1.79
7742	58.94	41.06	6	8	42.33	45.44	26.47	80.94	100.85	174.34	92.45	26.43	81.26	100.39	175.03	91.17	30.09	24.87	77.44	76.72	11.6	11.84	74.6	75.18	69.95	68.2	94.1	95.25	127.09	129.17	12.01	5.02	5.04	5.0	5.12	9.28	5.97	19.19	3.38	4.58	23.68	2.91	7.19	2064.69	487.85	2579.85	278.97	1535.42	61.11	38.22	28.05	1.85	6.16	2.75	5.34	6.61	29.88	18.76	19.61	22.41	23.01	29.34	18.05	28.4	1.03	2.46	0.69	2.01	2009.99	1.91	2.43
7751	55.13	44.87	5	8	44.51	48.02	26.01	80.46	100.17	175.52	91.08	25.97	80.14	99.32	175.44	90.22	20.83	21.88	78.38	79.08	8.4	13.07	75.03	74.6	69.64	67.73	94.59	95.19	128.02	129.77	10.41	5.15	4.99	5.18	5.0	9.73	5.77	19.81	2.63	3.38	24.27	3.02	6.32	2039.78	326.96	1752.39	255.56	1395.38	58.28	27.29	35.62	2.2	6.24	2.37	4.82	4.45	29.86	18.68	19.23	22.21	22.88	29.4	17.84	28.42	1.01	2.2	0.55	1.73	2009.99	1.2	1.28
7755	59.65	40.35	1	8	42.32	45.54	25.87	78.49	99.21	173.6	89.54	25.95	78.55	98.27	173.63	89.96	32.73	27.03	77.78	78.38	11.11	8.11	76.09	75.04	70.11	69.41	94.93	94.09	127.05	126.5	8.93	5.12	5.05	5.03	5.1	1.85	5.34	15.69	1.82	5.45	24.17	3.1	12.07	1945.8	338.53	1745.84	250.61	1306.24	61.22	21.74	37.84	2.16	8.77	2.94	6.06	2.94	29.18	18.9	20.1	23.41	22.61	29.26	19.14	27.48	0.94	2.15	0.61	1.86	2009.93	0.26	2.32
7761	57.94	42.06	5	8	42.04	45.27	26.69	81.26	101.06	174.22	92.42	26.76	81.83	100.46	174.83	91.76	31.95	32.15	76.21	79.35	7.82	10.95	74.75	74.08	71.24	68.68	94.18	94.07	127.27	127.44	9.81	5.02	5.06	4.97	5.13	8.38	5.73	21.58	3.9	4.82	23.04	2.8	6.84	2014.56	456.51	2384.7	219.11	1197.72	51.35	24.51	31.81	1.98	3.99	2.8	6.52	3.4	29.78	18.61	19.56	22.57	22.68	29.17	18.04	27.9	1.14	2.31	0.67	1.94	2009.98	1.41	1.91
7764	52.5	47.5	1	8	41.6	47.08	28.14	85.94	102.44	174.69	94.5	28.16	85.75	102.23	174.48	95.81	38.96	38.89	72.37	70.37	14.47	14.81	76.91	76.78	72.34	72.48	97.03	97.27	131.3	132.73	15.38	5.2	5.23	5.08	5.42	6.58	6.75	22.67	10.0	10.0	21.52	2.43	5.97	1991.27	488.54	2539.5	213.07	1162.14	48.57	25.76	28.57	1.58	3.75	4.26	8.7	0.0	28.77	19.93	20.56	23.28	23.5	29.04	18.93	27.27	1.04	2.51	0.75	1.83	2010.0	2.63	2.8
7765	55.81	44.19	2	8	43.96	47.67	27.31	83.44	102.03	174.49	94.61	27.73	83.95	102.1	173.69	94.59	47.35	49.13	67.72	72.99	17.97	18.86	75.81	74.7	71.4	68.81	95.78	95.44	130.37	130.63	11.15	4.94	5.01	4.87	5.13	9.49	7.3	22.14	3.4	4.91	23.6	2.9	8.82	1959.01	320.28	1702.39	241.76	1309.8	43.83	20.48	29.09	2.1	9.77	9.49	13.64	2.53	29.17	19.44	20.25	22.38	22.95	29.41	18.56	28.27	1.3	2.12	0.61	1.5	2009.97	2.39	2.0
7766	55.66	44.34	2	8	42.73	45.13	26.6	81.95	100.43	175.34	93.6	26.76	82.8	100.74	175.76	92.55	30.29	31.3	82.0	81.4	9.41	8.4	76.11	75.16	70.35	68.19	95.58	95.52	129.07	130.27	12.98	4.92	4.99	4.81	5.07	4.95	4.76	12.2	2.38	3.81	23.02	2.77	5.61	1888.36	307.84	1601.02	226.09	1192.26	49.74	17.61	50.0	2.0	7.58	1.63	6.56	4.88	29.47	19.07	20.4	22.14	23.33	29.25	18.2	28.22	0.97	1.91	0.73	1.79	2009.94	1.71	1.38
7811	58.43	41.57	2	10	51.05	54.66	26.25	78.72	99.74	172.97	92.51	26.83	81.16	101.1	173.8	93.91	42.19	44.27	56.3	52.58	16.18	19.59	74.8	74.96	71.23	70.1	95.26	96.81	129.69	134.31	19.7	5.25	5.24	5.24	5.45	8.75	8.84	21.69	5.75	7.66	25.1	3.16	7.08	1787.84	402.52	2114.23	277.11	1487.19	49.77	41.05	21.2	1.81	11.65	5.49	6.78	7.14	30.02	18.02	19.16	21.73	22.6	29.72	17.85	28.35	1.13	2.08	0.8	1.56	2009.33	2.08	1.62
7812	59.09	40.91	11	8	42.45	46.85	25.93	78.81	98.78	173.77	90.51	26.03	79.43	99.98	174.36	91.17	29.72	26.73	70.4	67.2	13.18	14.99	73.9	74.01	72.78	70.64	93.19	94.2	125.83	128.16	10.71	5.03	5.05	4.99	5.16	8.67	6.68	23.72	3.5	5.48	24.01	2.98	6.22	1929.18	565.23	2952.89	273.97	1496.57	53.02	46.12	27.82	1.68	8.9	3.31	8.01	6.44	29.71	18.81	19.49	22.53	22.16	29.14	18.26	28.21	1.17	2.77	0.79	2.15	2009.69	2.57	2.94
7813	53.09	46.91	1	7	37.98	42.29	25.39	79.25	97.85	176.15	88.49	25.78	79.99	99.14	175.98	89.9	11.54	10.34	80.52	87.93	6.41	10.34	75.59	76.78	71.75	69.48	94.48	95.73	126.37	127.97	5.06	4.9	4.86	4.89	5.02	7.69	1.81	9.72	0.0	1.32	23.83	2.93	6.62	2086.24	613.32	3123.53	261.76	1365.74	64.71	33.33	25.93	1.69	1.23	0.0	0.0	4.65	30.96	17.34	19.07	22.16	23.64	29.81	17.11	28.19	1.19	2.42	0.68	2.12	2009.7	0.73	1.37
7814	57.5	42.5	1	8	44.04	47.68	26.17	80.23	99.4	174.59	90.93	26.32	80.66	99.9	174.76	91.44	27.81	23.68	66.44	70.43	9.33	9.57	74.68	75.49	72.14	71.54	93.84	95.75	126.3	130.56	9.49	5.03	5.11	5.06	5.13	6.67	5.93	16.89	5.1	6.37	23.01	2.84	6.5	2000.79	393.34	1960.1	283.87	1412.79	45.52	28.33	31.25	1.81	5.63	2.73	2.8	6.31	30.04	18.28	19.51	22.21	21.44	29.53	17.54	28.54	1.05	2.65	0.72	2.08	2008.73	1.82	1.85
7815	60.74	39.26	4	8	43.09	48.0	26.57	79.98	100.09	173.0	91.85	26.79	81.01	100.91	173.61	92.95	40.3	38.91	62.53	62.9	14.04	13.18	74.49	75.18	73.41	72.12	94.26	95.87	127.55	131.0	11.42	5.06	5.16	5.02	5.34	8.17	7.05	27.51	5.24	7.56	23.79	2.91	5.94	1940.23	535.86	2792.41	287.38	1550.0	48.65	45.04	23.0	1.61	8.42	5.07	6.62	5.08	29.66	19.33	19.87	22.6	22.46	28.71	18.58	28.33	1.31	2.76	0.76	1.95	2008.68	3.27	2.92
7822	57.61	42.39	2	8	45.56	49.55	25.54	77.95	98.1	174.13	89.77	25.43	77.61	98.61	174.34	89.36	23.85	23.26	69.8	67.63	8.56	10.47	73.92	73.85	72.13	69.64	93.2	93.67	125.47	126.96	8.21	5.13	5.09	4.98	5.04	5.47	6.19	19.6	2.99	3.73	24.58	3.12	8.53	1908.77	442.73	2446.43	295.68	1711.22	60.26	37.09	24.69	1.94	9.45	2.98	7.83	7.23	29.86	18.55	19.23	22.3	22.39	29.07	17.9	28.65	0.97	2.44	0.8	1.77	2008.91	1.61	1.93
7823	58.47	41.53	5	8	45.57	49.1	26.64	80.16	100.24	173.12	91.68	26.59	79.91	100.1	173.15	91.93	37.27	37.89	63.71	64.12	12.81	14.89	75.47	75.0	72.09	71.08	95.19	95.47	128.73	130.37	17.82	5.15	5.05	5.05	5.14	11.68	7.51	20.95	2.75	3.49	24.27	3.04	6.21	1911.94	463.64	2407.63	301.53	1597.05	51.67	48.6	20.83	1.85	11.11	4.59	7.84	4.85	29.33	19.0	19.84	22.49	22.51	28.77	18.67	27.8	1.46	2.69	0.95	2.26	2009.42	2.88	2.81
7824	59.21	40.79	5	8	44.28	48.81	26.95	80.59	100.39	172.48	92.99	26.86	79.94	100.68	172.21	92.22	46.21	44.19	62.17	62.04	17.79	20.17	74.87	75.35	73.82	71.32	94.55	96.19	127.87	131.54	15.21	4.99	5.25	5.0	5.26	12.33	8.06	29.45	5.48	7.58	23.19	2.79	5.72	1930.33	564.34	2897.37	283.39	1492.6	42.63	46.19	20.45	1.74	7.29	5.16	8.17	6.8	28.99	19.74	20.27	22.57	22.67	28.55	18.98	27.88	1.38	2.8	1.1	2.35	2009.52	3.28	3.03
7826	56.92	43.08	3	8	44.52	48.17	26.9	82.13	100.63	174.21	93.47	26.67	81.54	100.41	174.4	92.06	40.75	39.83	71.12	79.17	12.1	14.17	74.61	74.39	70.53	69.51	94.3	94.8	127.62	129.16	10.88	5.24	5.12	5.18	5.17	11.86	6.45	20.0	2.9	4.23	24.01	3.02	7.51	1925.74	437.92	2333.86	294.5	1616.77	55.46	37.83	25.0	2.0	10.54	3.6	8.64	4.52	29.79	19.15	19.88	22.26	22.87	29.52	18.12	28.73	1.19	2.34	0.72	1.85	2009.79	1.95	2.0
7827	56.14	43.86	8	8	43.54	48.11	25.62	78.78	97.9	174.87	89.52	25.88	79.62	99.66	175.09	90.83	24.47	24.38	77.42	79.47	10.58	11.92	74.55	74.72	71.17	69.5	93.76	94.34	126.42	127.84	10.19	5.13	5.03	5.11	5.1	9.78	5.8	16.44	2.08	3.58	24.09	3.0	6.66	1969.66	539.49	2841.63	289.73	1592.84	54.58	44.11	26.06	1.86	8.94	3.2	7.46	4.92	29.65	18.57	19.53	21.98	22.06	29.18	18.38	28.5	1.04	2.37	0.74	2.11	2009.76	1.81	2.15
7828	57.32	42.68	1	8	43.77	47.48	25.77	79.43	98.57	175.43	90.51	26.08	80.3	100.59	175.31	91.04	18.35	18.1	77.85	79.05	8.86	7.77	74.88	75.46	70.65	68.32	94.09	95.04	126.46	128.3	9.15	5.03	4.99	5.12	4.98	10.19	5.37	18.95	1.91	1.91	24.87	3.15	7.93	1877.57	442.54	2364.78	273.14	1517.76	57.53	26.95	21.28	1.74	8.54	4.71	7.23	3.53	30.04	18.23	18.13	21.84	22.42	29.86	17.03	28.32	1.2	2.57	0.9	2.18	2009.9	1.37	0.64
7831	55.61	44.39	6	8	43.68	47.92	27.54	83.98	100.72	174.3	94.89	27.47	84.03	102.38	174.48	95.23	47.61	45.21	68.66	71.65	15.6	17.32	76.39	76.52	72.67	70.84	96.25	97.15	130.58	132.73	13.76	5.1	5.13	5.03	5.17	11.73	7.84	27.13	3.69	6.54	22.73	2.69	6.11	2061.29	636.06	3263.2	199.32	1079.53	41.38	14.71	26.51	1.79	6.79	3.78	9.68	6.38	29.56	19.66	19.76	22.39	22.17	29.39	18.26	28.31	1.21	2.6	0.86	2.05	2009.96	2.56	2.21
7833	57.4	42.6	7	8	41.1	45.0	26.59	81.36	99.44	174.11	91.92	26.88	82.12	100.86	174.37	92.94	39.51	38.39	78.87	80.36	9.44	11.83	74.53	75.1	71.59	68.9	94.24	95.4	127.51	129.78	9.1	5.08	5.06	4.99	5.16	9.35	6.25	23.59	3.16	4.17	22.96	2.74	7.45	2009.35	647.45	3337.74	213.17	1166.34	51.19	31.22	22.17	1.72	5.81	3.87	3.73	4.57	29.9	19.21	19.22	22.31	22.35	29.68	18.02	28.29	1.2	2.16	0.77	1.87	2009.98	1.53	1.81
7841	60.24	39.76	1	10	54.35	57.08	26.14	79.41	99.87	173.98	92.96	26.39	79.34	100.54	173.06	92.94	36.59	30.77	61.25	60.0	12.2	15.38	77.54	76.69	69.69	70.89	96.94	97.93	131.04	134.69	19.28	5.33	5.07	5.24	5.19	10.98	4.89	11.11	4.82	6.02	25.85	3.43	7.82	1920.35	414.55	2251.73	321.97	1788.87	62.67	32.31	40.98	2.23	13.25	3.45	6.9	11.48	29.97	18.03	19.06	21.79	21.02	29.1	17.91	28.43	0.88	2.1	0.62	1.49	2009.71	1.57	1.08
7844	57.45	42.55	2	7	39.09	43.4	27.32	82.72	101.0	173.35	93.1	27.65	83.76	101.92	173.52	94.45	46.21	49.41	77.73	74.27	11.92	16.76	74.57	75.94	72.28	69.03	94.06	96.72	127.27	131.94	9.26	4.97	5.01	4.91	5.16	12.45	6.89	30.28	1.84	5.17	21.76	2.49	6.43	2087.43	863.7	4371.19	223.76	1171.5	40.27	29.77	16.57	1.62	5.67	2.21	7.34	8.38	29.67	19.65	19.87	22.33	22.84	29.18	18.71	28.08	1.21	2.59	0.81	2.22	2009.97	2.0	2.38
7861	53.62	46.38	1	9	47.75	51.04	27.04	84.03	101.76	176.03	94.39	27.33	84.24	100.56	175.1	94.39	23.08	22.73	72.73	80.0	7.35	8.89	76.04	76.02	69.16	66.77	96.33	97.37	131.2	132.6	17.65	5.32	5.04	5.27	5.21	7.35	5.17	13.64	4.62	4.62	24.27	3.05	6.42	1954.86	315.43	1676.48	218.67	1192.7	54.1	17.86	36.17	2.31	11.76	0.0	7.89	2.63	30.02	17.84	18.95	21.69	21.65	29.74	17.55	28.69	0.89	1.82	0.63	1.36	2009.88	1.45	0.95
7872	57.58	42.42	1	9	46.94	51.36	26.44	79.57	98.86	173.4	91.77	26.04	78.63	100.2	173.76	90.44	35.94	42.0	67.8	60.0	6.45	10.0	75.21	74.61	70.35	68.89	94.82	93.7	128.2	128.84	15.63	5.3	5.02	5.23	5.15	14.52	5.32	14.06	1.54	1.54	24.87	3.07	7.18	1822.65	374.98	2114.55	273.34	1606.34	55.36	32.73	31.82	1.82	9.23	4.44	4.35	0.0	29.67	17.68	19.72	22.04	22.12	29.44	17.53	28.71	1.26	2.1	0.58	1.6	2009.64	1.6	1.36
7873	53.57	46.43	1	8	42.57	46.42	25.12	77.47	97.06	174.72	89.2	25.4	78.58	98.79	175.38	89.93	17.65	22.5	80.0	75.0	1.96	7.5	73.29	76.17	72.27	69.02	92.39	96.25	124.59	130.9	9.09	5.15	4.99	4.92	5.07	3.92	5.63	16.0	0.0	1.79	24.88	3.28	8.37	1865.76	483.53	2513.53	305.15	1621.62	63.83	27.91	35.14	1.88	5.36	5.41	5.41	2.7	30.47	17.3	19.3	21.71	22.35	29.61	17.24	29.98	0.92	1.96	0.5	1.21	2009.64	0.56	1.88
7875	58.82	41.18	1	11	57.2	59.73	27.33	80.75	101.96	171.75	93.73	27.29	80.88	102.54	171.98	93.82	41.18	31.71	55.1	53.66	14.0	19.51	75.73	76.23	69.18	66.71	95.76	97.96	131.18	135.15	34.0	5.44	5.22	5.42	5.18	2.0	6.19	11.76	5.88	5.88	26.02	3.5	10.22	1741.4	466.53	2488.83	316.91	1740.74	48.94	5.26	46.15	2.22	19.61	4.88	2.63	7.32	31.31	17.48	16.85	21.03	21.58	30.59	15.3	29.45	0.92	1.16	0.6	0.93	2009.92	0.0	0.41
7876	60.48	39.52	1	8	44.99	48.24	26.68	80.89	101.17	174.08	93.27	26.24	79.86	100.64	174.26	91.03	36.75	28.4	70.8	78.48	8.85	11.11	75.31	75.52	71.06	68.83	95.7	96.36	130.36	132.44	14.05	4.97	5.12	5.08	5.1	14.29	5.87	24.56	3.36	3.36	24.6	3.14	6.79	1871.3	437.66	2270.9	213.12	1148.21	45.37	18.95	34.62	1.98	11.48	1.23	6.33	13.58	29.43	19.21	19.95	22.34	21.69	29.02	18.19	28.68	1.13	2.6	0.55	1.74	2009.87	1.99	2.35
7881	58.82	41.18	9	8	44.65	49.11	27.59	83.74	102.16	173.93	95.12	27.48	83.19	101.49	173.78	93.9	50.44	49.05	72.02	68.52	14.46	16.21	76.51	76.21	72.09	69.98	96.4	97.2	130.71	133.08	13.88	5.16	5.12	5.11	5.18	10.08	7.63	24.52	4.75	6.63	23.15	2.82	5.78	1985.55	264.93	1353.56	205.71	1057.45	36.82	20.83	19.49	2.0	10.06	6.51	9.42	5.87	29.2	19.61	20.22	22.23	22.24	29.16	18.61	28.29	1.3	2.45	0.66	1.68	2009.95	2.79	2.19
7884	57.09	42.91	2	8	43.25	46.54	27.78	85.11	102.76	174.77	95.05	28.14	86.4	103.58	174.94	94.89	43.25	52.03	75.1	71.81	17.62	13.42	75.2	76.03	70.31	67.98	95.21	97.05	129.2	133.5	13.33	5.13	5.23	5.13	5.36	12.86	6.69	23.36	4.69	5.86	23.78	2.97	7.65	1985.77	307.12	1661.55	194.08	1096.32	45.91	18.81	28.97	1.98	12.36	3.03	7.03	3.03	29.77	19.02	19.44	22.13	23.19	29.64	18.25	28.48	1.31	2.15	0.8	1.72	2010.0	2.08	1.57
7885	56.96	43.04	2	8	45.88	49.9	27.56	84.46	102.24	174.8	96.25	27.92	84.77	102.64	174.06	95.1	48.23	49.63	66.97	67.88	13.51	9.49	75.41	75.27	70.51	68.52	95.22	96.17	129.21	132.12	13.22	5.17	5.21	5.15	5.34	17.65	7.55	26.61	4.91	6.7	22.79	2.76	5.78	2052.86	277.06	1485.89	215.03	1175.74	41.12	31.58	25.35	1.89	11.35	3.97	8.26	3.91	28.87	19.81	20.25	22.57	22.37	28.7	18.81	27.32	1.48	2.41	0.92	1.53	2009.97	2.18	2.69
7887	55.11	44.89	5	8	43.32	47.28	26.44	81.02	99.78	174.5	91.95	26.11	80.02	99.85	174.75	90.89	30.92	31.25	76.13	74.14	8.06	7.5	74.56	75.16	70.59	68.06	94.17	95.47	127.48	129.87	11.15	5.03	5.01	5.04	5.1	7.89	5.12	14.05	3.45	4.98	24.05	2.99	6.5	1971.94	587.31	3098.73	267.43	1499.29	58.94	28.01	33.33	1.96	10.08	1.92	4.23	3.83	30.01	18.75	19.63	22.22	22.66	29.63	17.75	28.49	1.05	2.18	0.8	1.46	2009.98	1.61	1.57
7891	58.46	41.54	7	8	44.54	47.98	27.35	82.77	101.41	173.7	94.36	27.38	82.72	101.45	173.69	93.45	45.68	43.33	71.15	71.96	13.73	16.38	74.92	74.28	71.63	70.14	94.9	95.0	129.02	130.19	16.64	5.14	5.15	5.02	5.17	14.91	6.64	16.98	4.81	7.16	23.44	2.86	6.28	1882.74	401.55	2107.76	258.54	1392.7	46.56	32.21	20.33	1.94	10.44	4.95	8.63	5.41	29.42	19.27	20.04	22.57	22.89	29.25	18.41	28.23	1.26	2.3	0.79	1.83	2009.89	1.75	2.17
7894	58.06	41.94	2	8	42.5	45.33	28.76	87.38	103.7	174.18	96.95	28.69	86.96	103.88	174.02	95.13	49.38	49.24	75.21	80.6	15.83	17.04	75.52	76.07	71.61	69.46	95.52	96.64	130.07	132.68	13.47	5.11	5.13	5.09	5.1	16.46	7.49	26.56	4.47	5.28	22.76	2.74	4.63	1915.05	350.76	1879.42	214.59	1198.61	37.0	20.62	23.61	1.99	12.9	2.34	5.74	6.92	29.22	19.39	20.0	22.54	23.08	28.83	18.35	28.13	1.24	2.45	0.7	1.63	2009.95	2.03	3.97
7895	57.69	42.31	1	8	41.52	45.22	26.82	80.91	99.17	173.18	92.22	26.7	81.37	100.92	174.23	92.39	41.94	37.5	76.03	77.78	12.2	22.22	74.1	74.16	72.4	71.79	93.42	94.09	126.61	127.83	14.06	5.12	5.02	5.07	5.01	8.33	7.23	24.14	2.38	3.97	22.49	2.58	5.54	2079.25	520.74	2582.69	141.24	685.19	35.85	9.0	21.33	1.59	5.43	10.39	13.33	3.9	29.07	19.93	20.32	22.3	22.06	29.16	18.47	27.98	1.42	3.1	1.05	2.53	2009.94	1.51	4.73
7901	61.65	38.35	2	9	46.46	52.29	25.9	77.38	99.5	172.43	89.17	26.16	78.26	100.52	172.66	92.17	41.21	44.44	65.08	61.68	7.81	19.27	73.34	75.22	72.66	70.02	93.6	96.45	125.85	132.22	17.24	5.04	5.09	5.1	5.16	12.04	7.44	21.88	4.0	6.0	24.51	3.12	7.81	1935.36	505.6	2704.21	262.72	1489.79	65.29	50.31	33.06	1.79	10.19	1.96	7.84	2.91	29.68	18.77	19.41	22.18	22.39	29.22	18.07	28.64	1.03	2.25	0.9	1.8	2010.0	1.93	1.23
7902	62.18	37.82	2	8	44.84	50.44	25.98	77.56	98.85	172.53	88.53	25.9	78.48	99.96	174.01	89.89	44.64	49.55	68.87	69.64	10.96	16.07	71.6	74.19	72.56	69.76	91.44	94.73	123.32	129.2	14.1	5.05	5.03	5.22	5.02	11.93	7.06	25.35	4.72	7.73	24.26	3.07	7.97	1936.03	547.89	2848.68	298.3	1600.73	52.53	49.14	32.17	1.84	8.94	3.61	7.59	8.64	29.24	19.98	19.76	22.47	22.73	28.93	18.37	27.54	1.24	2.61	1.2	2.05	2010.0	2.78	1.22
7904	58.89	41.11	2	8	43.99	48.6	26.45	79.99	100.62	173.65	90.3	25.68	78.37	100.29	174.61	89.93	39.31	42.97	69.57	73.85	11.37	12.31	71.83	74.21	72.93	70.14	91.77	94.78	123.54	129.29	12.12	5.0	5.09	5.02	5.07	10.2	6.66	22.13	3.83	4.98	23.45	2.82	5.97	2039.35	577.21	2997.06	257.04	1396.23	53.88	47.73	29.38	1.94	7.12	1.77	4.46	4.46	29.68	19.26	20.01	21.92	22.36	29.19	18.25	28.28	1.25	2.44	0.83	2.39	2010.0	2.73	1.65
7905	61.58	38.42	2	8	46.03	54.47	25.84	77.2	99.22	172.48	89.07	26.28	78.39	100.51	172.4	91.7	44.16	50.94	66.32	58.65	13.85	16.04	74.07	75.68	73.95	70.93	93.61	95.56	124.96	129.82	14.57	5.13	5.07	5.13	5.14	11.86	7.65	24.74	3.55	5.58	23.79	2.94	7.51	2015.15	507.93	2696.88	319.46	1754.52	52.25	44.59	33.59	1.87	8.91	3.85	11.54	10.26	28.59	19.94	20.87	22.52	22.38	28.21	19.37	27.48	1.26	2.64	0.81	1.63	2010.0	3.22	1.79
7906	63.53	36.47	3	8	42.58	47.57	26.3	79.04	100.5	173.14	89.13	26.41	80.24	101.13	174.08	90.28	42.01	37.08	68.88	76.54	9.58	11.24	70.95	73.88	72.78	71.39	90.94	94.66	122.75	129.12	15.03	4.94	5.07	5.03	5.05	9.61	7.14	23.19	4.6	6.32	23.54	2.9	7.44	1994.25	603.33	3187.76	295.94	1650.81	56.96	51.41	29.38	1.79	9.48	1.97	3.36	5.96	29.39	18.94	20.09	22.66	23.0	29.11	18.83	27.44	1.25	2.42	0.77	1.84	2010.0	2.0	1.34
7907	66.38	33.62	1	9	50.02	57.68	25.77	76.68	99.2	172.14	88.7	26.81	78.67	101.43	170.94	91.32	47.79	49.06	59.05	55.77	10.19	15.09	71.59	74.97	71.22	68.86	92.41	96.47	124.96	133.67	19.47	5.2	5.1	5.12	5.19	12.15	7.81	17.86	6.09	7.83	24.46	3.07	8.67	1971.7	552.48	2925.3	365.25	1989.14	65.66	56.79	37.7	2.22	12.07	4.35	15.56	4.35	29.75	18.43	19.89	22.05	22.78	29.33	18.33	28.16	1.45	2.11	1.04	1.72	2010.0	1.94	2.33
7908	60.51	39.49	6	8	43.03	48.89	25.53	77.82	99.26	174.13	87.59	25.61	78.16	100.12	174.43	89.24	28.84	22.08	75.59	77.85	9.35	11.36	72.32	74.46	71.48	69.87	91.69	94.19	122.49	127.31	10.23	5.02	4.97	5.12	4.99	7.97	6.36	21.22	1.53	2.61	24.39	3.06	6.82	1950.85	481.58	2635.93	272.52	1590.61	65.2	48.91	31.41	1.98	7.39	3.13	8.24	7.0	30.04	18.62	19.28	22.0	22.54	29.52	18.11	28.62	0.98	2.41	0.81	2.12	2010.0	1.96	1.74
7909	56.55	43.45	1	8	44.89	51.31	25.95	79.75	100.41	175.06	89.52	26.39	82.01	101.85	175.84	92.26	27.01	23.44	64.12	64.06	6.06	12.31	70.17	75.63	72.5	68.17	89.96	95.66	122.03	129.76	13.14	5.05	5.09	5.03	5.03	14.39	6.49	19.12	5.56	6.25	24.84	3.22	6.79	1856.75	511.58	2715.96	292.5	1620.52	57.6	32.69	31.76	2.13	13.1	5.13	5.13	2.56	30.01	18.06	18.75	22.27	22.02	29.49	17.34	29.24	1.02	2.61	0.83	1.75	2010.0	1.64	0.26
7912	59.12	40.88	1	7	38.67	44.29	25.83	78.21	98.49	173.51	87.92	25.81	78.45	98.87	174.04	89.14	42.97	41.56	76.19	81.82	7.14	10.39	72.12	74.91	72.18	69.45	91.3	94.59	121.92	127.69	13.64	5.11	5.01	5.08	4.94	7.26	6.97	24.0	2.19	2.19	23.5	2.91	7.72	2037.81	805.83	4181.18	202.85	1166.27	52.63	29.13	45.16	2.12	5.11	1.72	14.04	1.72	29.63	18.97	18.9	22.08	22.34	29.51	17.67	28.02	0.89	1.94	0.68	1.91	2010.0	1.0	1.12
7913	57.43	42.57	7	8	42.3	47.45	26.02	79.3	99.94	174.11	89.89	26.05	79.59	100.35	174.57	90.76	46.73	49.1	74.56	81.54	9.76	12.28	72.04	74.86	71.77	68.25	91.47	94.72	122.55	128.48	13.51	5.01	4.96	5.02	5.01	8.45	6.6	24.03	2.82	4.24	23.11	2.8	8.05	2080.05	470.75	2523.27	249.28	1415.92	54.31	33.78	37.21	2.39	7.86	3.72	7.9	7.09	29.33	19.21	19.85	22.21	22.52	29.17	18.25	28.06	1.13	2.37	0.78	2.0	2010.0	1.98	2.42
