ZIPCODE	GENDER_FEMALE	GENDER_MALE	GROUP_SIZE_CAT	AGE_CAT	AGE_T1	AGE_T2	BMI_T1	WEIGHT_T1	HIP_T1	HEIGHT_T1	WAIST_T1	BMI_T2	WEIGHT_T2	HIP_T2	HEIGHT_T2	WAIST_T2	EDUCATION_LOWER_T1	EDUCATION_LOWER_T2	WORK_T1	WORK_T2	LOW_QUALITY_OF_LIFE_T1	LOW_QUALITY_OF_LIFE_T2	DBP_T1	DBP_T2	HBF_T1	HBF_T2	MAP_T1	MAP_T2	SBP_T1	SBP_T2	HTN_MED_T1	CHO_T1	GLU_T1	CHO_T2	GLU_T2	RESPIRATORY_DISEASE_T1	PACKYEARS	SMOKING	METABOLIC_DISORDER_T1	METABOLIC_DISORDER_T2	LLDS	Quintile_LLDS	ALCOHOL_INTAKE_T1	KCAL_INTAKE_T1	MWK_VAL	SCOR_VAL	MWK_NO_VAL	SCOR_NO_VAL	SPORTS_T1	CYCLE_COMMUTE_T1	VOLUNTEER_T1	PREGNANCIES	OSTEOARTHRITIS_T1	DIAG_CFS_CDC	DIAG_FIBROMYALGIA_ACR	DIAG_IBS_ROME3	C_SUM_T1	A_SUM_T1	SC_SUM_T1	I_SUM_T1	E_SUM_T1	SD_SUM_T1	V_SUM_T1	D_SUM_T1	LTE_SUM_T1	LDI_SUM_T1	LTE_SUM_T2	LDI_SUM_T2	NSES_YEAR	MENTAL_DISORDER_T1	MENTAL_DISORDER_T2
9462	62.4	37.6	1	9	48.74	58.9	26.17	78.5	99.21	173.03	89.63	26.57	77.23	99.45	170.44	91.91	38.71	46.81	60.17	41.67	10.92	10.42	75.0	77.94	68.74	66.85	95.06	101.34	126.57	138.83	16.13	5.22	4.97	5.52	5.08	5.04	7.17	18.7	3.23	4.07	24.49	3.1	7.41	1851.46	236.93	1329.22	208.71	1188.12	48.62	19.39	33.33	1.85	8.8	0.0	2.63	7.69	30.53	17.81	19.38	21.79	21.47	29.88	17.8	29.69	1.17	2.46	0.96	1.79	2009.9	1.2	4.13
9463	60.47	39.53	1	8	45.66	53.47	26.79	81.88	100.38	174.73	90.48	25.72	78.68	98.81	174.84	88.9	21.26	19.35	70.73	63.33	5.6	16.13	74.27	71.56	68.93	63.74	93.19	93.68	123.19	129.21	11.11	5.09	5.09	5.01	5.0	8.87	6.04	18.7	1.57	3.15	24.33	3.09	7.88	1620.27	294.15	1535.82	248.2	1306.05	60.0	23.0	40.51	1.84	4.69	9.09	0.0	4.55	29.57	19.77	20.45	22.32	22.35	29.51	18.54	28.1	1.1	2.56	0.9	2.57	2010.0	1.59	4.97
9468	59.7	40.3	3	9	47.76	55.96	26.09	80.8	98.87	175.73	89.5	26.15	81.33	99.75	176.19	91.8	23.53	20.79	72.15	64.0	7.5	10.89	74.13	74.71	69.82	66.56	94.15	97.16	125.68	133.14	13.19	5.15	4.95	5.25	5.02	10.31	6.46	20.38	3.13	4.06	25.12	3.2	8.7	1897.93	307.52	1698.02	274.71	1533.94	63.38	24.12	37.21	2.01	6.69	2.25	3.41	4.49	29.93	18.61	19.89	22.01	22.35	29.4	17.95	28.54	1.07	2.23	0.57	1.96	2010.0	1.7	2.24
9471	59.21	40.79	5	8	46.41	52.98	25.4	77.72	97.32	174.69	87.41	25.36	77.17	98.34	174.12	88.44	21.59	22.05	76.69	70.41	6.67	9.18	72.85	74.9	69.66	66.05	92.19	96.28	123.07	130.79	12.17	5.13	4.94	5.08	4.98	6.67	5.44	17.3	2.15	3.13	25.08	3.24	6.54	1907.13	328.43	1830.85	288.26	1629.99	61.6	25.76	28.98	2.17	6.59	3.21	1.31	3.85	30.01	18.07	19.3	21.79	22.06	29.49	17.7	28.5	1.07	2.5	0.77	1.78	2009.99	1.36	1.81
9472	59.6	40.4	3	8	43.25	48.25	24.89	76.7	96.37	175.05	85.88	24.95	77.14	97.55	175.29	87.95	19.95	15.88	82.23	82.84	8.44	4.73	72.48	73.04	69.53	64.62	90.8	93.77	120.34	126.53	10.88	5.06	4.89	5.06	4.87	8.2	6.11	18.8	1.56	2.34	24.96	3.27	7.51	1956.99	286.43	1682.13	250.93	1504.64	59.41	26.17	25.45	2.11	3.79	1.54	1.54	5.38	29.88	18.22	19.67	21.91	22.23	29.22	18.19	28.54	0.92	2.58	0.75	2.05	2010.0	1.63	1.71
9481	59.32	40.68	5	8	44.41	49.78	25.65	78.67	97.89	174.65	87.83	26.09	80.26	99.1	175.1	90.97	21.33	18.75	74.77	77.41	9.87	8.63	72.03	74.5	70.24	67.18	91.09	95.6	121.31	129.66	11.17	5.03	4.99	5.02	5.03	8.97	5.4	17.22	3.12	4.16	24.41	3.06	7.31	1999.71	426.43	2284.78	286.58	1585.52	64.06	35.43	33.06	2.04	8.16	1.89	5.7	5.64	29.77	18.43	19.71	22.09	21.99	29.38	18.14	28.6	0.97	2.41	0.81	2.02	2010.0	1.93	2.68
9482	56.52	43.48	2	8	43.91	47.3	25.67	78.14	97.01	173.8	87.4	25.86	79.22	98.26	174.64	90.15	27.23	24.81	79.13	84.5	6.44	5.47	70.87	74.03	70.72	66.64	89.83	94.87	120.0	127.87	12.35	5.1	4.96	5.21	4.97	7.76	6.63	23.56	2.46	4.1	24.09	3.0	8.05	2032.41	475.41	2531.4	236.6	1337.34	55.66	24.24	36.59	2.07	4.78	2.06	3.06	3.06	29.6	18.93	19.23	22.11	22.32	29.15	18.07	27.96	1.04	2.55	0.78	2.17	2009.97	1.41	2.02
9483	57.41	42.59	1	9	48.67	50.89	26.37	81.81	98.51	175.92	89.63	26.1	81.29	99.06	176.1	91.94	20.75	15.15	78.0	84.85	4.0	6.06	74.46	74.36	72.56	65.33	94.37	94.39	125.31	126.39	11.54	5.26	5.18	5.01	4.92	4.08	5.52	17.65	3.85	3.85	23.67	2.88	8.61	1991.3	554.77	2741.81	363.47	1785.32	53.19	23.4	30.3	1.83	7.55	0.0	6.9	3.45	30.8	18.85	17.98	22.2	21.52	30.43	15.93	28.98	1.59	2.94	1.12	2.09	2010.0	0.0	1.38
9491	62.6	37.4	1	8	44.51	49.34	26.2	80.98	99.19	175.45	88.44	26.43	80.81	99.51	174.38	90.33	21.88	29.41	79.37	82.35	4.72	8.82	72.75	74.32	70.03	67.38	91.75	95.53	121.85	128.83	10.77	5.25	5.0	5.23	5.04	7.87	5.87	15.57	1.59	3.17	23.59	2.9	8.92	1952.01	552.83	2836.18	211.11	1127.59	64.04	24.32	32.5	2.08	5.38	5.0	8.33	3.28	29.72	17.95	20.05	22.46	21.44	28.86	17.85	28.74	0.92	2.45	0.94	1.71	2010.0	0.56	1.82
9494	59.72	40.28	1	8	44.57	52.47	25.96	80.31	98.4	175.25	88.5	26.77	83.24	100.61	176.27	93.82	30.43	31.58	74.6	65.79	12.5	7.89	70.46	73.86	70.17	68.77	90.53	96.91	122.0	132.72	14.71	5.11	5.05	5.16	5.08	10.94	6.4	23.44	4.48	5.97	23.93	3.02	8.92	1882.67	485.56	2446.84	282.58	1431.93	56.14	18.75	36.0	1.79	2.78	0.0	6.9	0.0	30.44	18.46	20.52	21.95	22.44	28.8	17.95	28.4	1.19	2.42	1.0	0.92	2010.0	2.02	2.39
